Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Arts & Humanities,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,Yes; it was counted,A mix of candidates,Yes,No,Strongly agree,Somewhat agree,Strongly disagree,3,Once a week,Every couple of days,Once or twice a year,Important,Very important,Important,Very important,Slightly important,Very important,Slightly important,Important,Very important,Very important,Very important,Government transparency,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,White,19,,,,Scared,Community engagement,,4,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,3,Every day,Every day,Once or twice a month,Important,Very important,Very important,Important,Important,Important,Very important,Moderately important,Important,Important,,,Very knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Other,21,Yes,Absentee / mail ballot,3rd party,Angry,Volunteering,,,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat agree,Neutral,Neutral,3,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Important,Important,Moderately important,Very important,Moderately important,Important,Moderately important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,21,,,,Hopeful,Volunteering,,2,,,I do not remember,No,Neutral,Neutral,Somewhat disagree,4,Once a week,Once a week,Once or twice a year,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,Asian,20,,,,Angry,Volunteering,,,,,No,No,Strongly agree,Neutral,Somewhat disagree,4,Once or twice a month,Once a week,Once or twice a year,Very important,Important,Important,Very important,Moderately important,Very important,Very important,Important,Very important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,White,23,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,1,No; I do not know how,Only Democrats,I do not remember,Yes,Strongly agree,Somewhat agree,Somewhat agree,2,Once a week,Every couple of days,Once or twice a year,Very important,Important,Important,Very important,Moderately important,Very important,Important,Important,Important,Important,Very important,Welfare/Tax Reform,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,White,21,Yes,Absentee / mail ballot,3rd party,Scared,Voting,,,No; I do not know how,A mix of candidates,Yes,No,Somewhat agree,Strongly disagree,Strongly disagree,8,Once or twice a month,Once a week,Never,Important,Very important,Very important,Slightly important,Important,Slightly important,Slightly important,Slightly important,Moderately important,Important,,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,No,I did not have class that day,Somewhat disagree,Somewhat agree,Somewhat agree,1,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Decline to state,21,Yes,Absentee / mail ballot,Clinton,Sad,Voting,,,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once or twice a year,Once or twice a month,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Getting money out of politics,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,,,I do not remember,No,Somewhat agree,Strongly agree,Somewhat disagree,3,Once or twice a month,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,Other,19,,,,"Sad,Scared,Angry",Voting,,,No; I do not know how,Only Democrats,Yes,I do not remember,Strongly agree,Somewhat agree,Somewhat agree,2,Once or twice a month,Every couple of days,Every couple of days,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Mixed Race,18,,,,"Sad,Scared",Volunteering,,2,,,No,I do not remember,Neutral,Somewhat disagree,Somewhat disagree,2,Every couple of days,Every day,Never,Very important,Moderately important,Important,Very important,Very important,Important,Very important,Moderately important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,Asian,20,Yes,Polling station,Clinton,Angry,Voting,,2,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once a week,Once a week,Never,Important,Very important,Very important,Very important,Moderately important,Important,Very important,Important,Moderately important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,No,No,Neutral,Neutral,Neutral,2,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Important,Important,Important,Very important,,Very knowledgeable,Very knowledgeable
Physical Sciences/Mathematics,Woman,Asian,18,,,,Scared,Volunteering,,,,,Yes,No,Strongly agree,Neutral,Neutral,5,Once or twice a year,Once a week,Never,Important,Very important,Very important,Very important,Moderately important,Very important,Important,Important,Important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,Angry,Volunteering,,1,No; I did not check,Only Democrats,No,I did not have class that day,Strongly agree,Somewhat disagree,Strongly disagree,3,Once a week,Every day,Never,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Veteran Care,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,Sad,Volunteering,,,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once a week,Once or twice a month,Very important,Very important,Important,Important,Important,Very important,Important,Important,Important,Important,Important,Affordable Housing,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,,No; I did not check,Only Democrats,No,No,Somewhat agree,Strongly agree,Somewhat disagree,3,Every couple of days,Every couple of days,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,20,,,,Sad,Community engagement,,,,,I do not remember,No,Somewhat agree,Strongly disagree,Strongly disagree,5,Every day,Every day,Once or twice a year,Very important,Important,Very important,Moderately important,Slightly important,Important,Important,Important,Very important,Slightly important,,,Not knowledgeable at all,Slightly knowledgeable
Life Sciences,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,,,,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,3,Never,Every couple of days,Never,Very important,Very important,Very important,Important,Important,Important,Important,Moderately important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,Yes; it was not counted,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,4,Once or twice a month,Once or twice a year,Once or twice a year,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Sad,Scared,Angry,Other",Community engagement,,1,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every day,Once a week,Very important,Important,Important,Very important,Important,Very important,Very important,Very important,Very important,Important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,3,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat agree,Strongly agree,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Moderately important,Very important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Man,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,3,Yes; it was not counted,Only Democrats,No,No,Somewhat agree,Strongly agree,Strongly agree,2,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Asian,20,,,,,Volunteering,,1,,,I do not remember,No,Somewhat agree,Somewhat agree,Strongly disagree,4,Every couple of days,Once a week,Once or twice a month,Important,Important,Important,Important,Important,Important,Important,Very important,Moderately important,Moderately important,Very important,Fostering a culture of common respect,Not knowledgeable at all,Slightly knowledgeable
Life Sciences,Woman,Mixed Race,22,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,,Yes; it was counted,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,2,Once or twice a month,Once a week,Never,Very important,Important,Important,Moderately important,Moderately important,Important,Important,Moderately important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Man,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,,,No,No,Strongly agree,Somewhat agree,Somewhat disagree,4,Once or twice a month,Once or twice a month,Never,Very important,Important,Very important,Moderately important,Moderately important,Very important,Very important,Moderately important,Important,Important,Very important,Public funding for research and scientific pursuits,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,Mexican American/Chicanx,18,,,,Scared,Community engagement,,,,,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,5,Once or twice a month,Once a week,Never,Important,Important,Very important,Important,Very important,Important,Very important,Moderately important,Moderately important,Moderately important,Very important,Education,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,Other Hispanic/Latinx,24,Yes,I do not remember,Clinton,Sad,Donating money,,3,No; I do not know how,A mix of candidates,I do not remember,Yes,Neutral,Neutral,Neutral,5,Once or twice a year,Once a week,Every couple of days,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Neutral,3,Once or twice a year,Once or twice a month,Never,Moderately important,Important,Important,Important,Moderately important,Important,Very important,Important,Important,Very important,Important,Public benefits,Slightly knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,4,,,No,No,Strongly agree,Strongly agree,Strongly disagree,3,Once a week,Every day,Once a week,Very important,Very important,Very important,Important,Very important,Very important,Very important,Important,Very important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,Mixed Race,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Voting,,4,No; I did not check,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat disagree,2,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Important,Moderately important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,19,,,,"Sad,Scared,Angry",Volunteering,,,,,No,Yes,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,White,22,Yes,Polling station,Clinton,Sad,Community engagement,,1,Yes; it was counted,Only Democrats,No,No,Strongly agree,Strongly agree,Strongly agree,3,Once or twice a month,Once or twice a month,Never,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Business,Woman,Asian,18,,,,"Sad,Angry",Community engagement,,,,,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,3,Once or twice a month,Once or twice a month,Once or twice a year,Very important,Very important,Very important,Important,Important,Important,Very important,Important,Important,Important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Business,Man,White,20,Yes,Polling station,Clinton,Scared,Volunteering,,,,,I do not remember,I do not remember,Strongly agree,Strongly agree,Strongly agree,3,Every couple of days,Every day,Once or twice a year,Important,Moderately important,Important,Moderately important,Important,Moderately important,Very important,Slightly important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,Mexican American/Chicanx,20,Yes,Absentee / mail ballot,Clinton,Angry,Community engagement,,1,No; I did not check,Only Democrats,I do not remember,No,Neutral,Neutral,Somewhat agree,1,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,White,19,,,,Scared,Voting,,3,Yes; it was counted,Mostly Democrats,I do not remember,I did not have class that day,Strongly agree,Somewhat agree,Somewhat disagree,3,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Important,Very important,Moderately important,Important,Important,Important,None,Very knowledgeable,Very knowledgeable
Business,Woman,African American/Black,19,,,,Scared,Community engagement,,,,,No,No,Somewhat agree,Strongly agree,Somewhat disagree,3,Once a week,Once a week,Never,Important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Very important,Moderately important,None,Not knowledgeable at all,Not knowledgeable at all
Business,Man,Asian,19,,,,"Sad,Angry",Volunteering,,,Yes; it was counted,Only Democrats,No,Yes,Somewhat agree,Strongly agree,Somewhat agree,4,Every couple of days,Every couple of days,Once or twice a year,Very important,Moderately important,Important,Slightly important,Slightly important,Very important,Very important,Important,Moderately important,Moderately important,,,Slightly knowledgeable,Not knowledgeable at all
Social Sciences,Woman,White,19,,,,"Sad,Scared,Angry",Volunteering,,4,No; I do not know how,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Every couple of days,Every day,Never,Very important,Very important,Important,Very important,Important,Important,Very important,Moderately important,Moderately important,Moderately important,Slightly important,Taxes,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Asian,18,,,,"Sad,Angry",Community engagement,,,Yes; it was counted,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Somewhat agree,3,Once or twice a year,Once or twice a year,Once or twice a year,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Moderately important,Important,Moderately important,Public school system ,Not knowledgeable at all,Not knowledgeable at all
Business,Woman,White,19,,,,Sad,Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat agree,2,Once a week,Every couple of days,Once or twice a month,Very important,Very important,Important,Important,Important,Important,Very important,Very important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,Decline to state,19,,,,Other,Community engagement,,,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Somewhat disagree,Somewhat disagree,7,Once a week,Every couple of days,Every couple of days,Very important,Important,Important,Important,Very important,Important,Important,Moderately important,Important,Important,,,Moderately knowledgeable,Very knowledgeable
Business,Woman,Asian,18,,,,Sad,Community engagement,,2,No; I did not check,Mostly Democrats,No,I do not remember,Somewhat agree,Somewhat agree,Somewhat agree,7,Once or twice a month,Every couple of days,Every couple of days,Important,Very important,Very important,Very important,Important,Very important,Very important,Important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,Asian,18,,,,"Sad,Angry",Volunteering,,,,,No,No,Strongly agree,Neutral,Neutral,4,Once a week,Once or twice a month,Never,Slightly important,Important,Moderately important,Important,Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Moderately important,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Woman,Asian,19,,,,Happy,Voting,,1,,,No,No,Strongly agree,Strongly disagree,Strongly disagree,9,Never,Once or twice a month,Never,Moderately important,Moderately important,Not important,Moderately important,Very important,Not important,Slightly important,Not important,Not important,Not important,,,Not knowledgeable at all,Not knowledgeable at all
Arts & Humanities,Woman,White,19,,,,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,Yes,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,White,20,Yes,Polling station,,,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Voting,,,,,Yes,Yes,Somewhat agree,Neutral,Somewhat agree,,Never,Never,Never,Important,Moderately important,Very important,Important,Moderately important,Important,Moderately important,Slightly important,Very important,Very important,,,Not knowledgeable at all,Slightly knowledgeable
Arts & Humanities,Woman,Asian,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Asian,22,Yes,Absentee / mail ballot,Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,White,21,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,1,Every day,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,,,,
Arts & Humanities,Woman,Mexican American/Chicanx,19,,,,Angry,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Man,African American/Black,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Asian,21,Yes,Polling station,Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Asian,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,White,22,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Only Democrats,Yes,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Sciences/Mathematics,Woman,White,25+,No,I do not remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Man,White,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Mexican American/Chicanx,25+,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,White,24,Yes,Polling station,Trump,"Happy,Proud,Hopeful",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Mexican American/Chicanx,21,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Mixed Race,19,,,,"Sad,Scared,Angry",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Woman,African American/Black,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,18,,,,"Sad,Scared",Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Mexican American/Chicanx,25+,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,1,Yes; it was counted,Mostly Democrats,Yes,I did not have class that day,Neutral,Neutral,Neutral,3,Once a week,Every day,Never,Very important,Very important,Important,Important,Moderately important,Important,Moderately important,Important,Important,Very important,Not important,,,
Engineering/Computer Science,Woman,Asian,18,,,,"Scared,Hopeful",Voting,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,Asian,19,,,,Hopeful,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,Mixed Race,19,,,,"Sad,Scared,Angry",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,1,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,White,21,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Mixed Race,22,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,Asian,18,,,,Sad,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,White,19,,,,Scared,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,1,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,,
Social Sciences,Man,Mixed Race,19,,,,Happy,Community engagement,,3,No; I did not check,Only Republicans,Yes,No,Somewhat agree,Strongly disagree,Strongly disagree,10,Every couple of days,Every day,Never,Important,Slightly important,Important,Slightly important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,,,,
Physical Sciences/Mathematics,Man,Asian,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Mixed Race,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,No; I did not check,Only Democrats,I do not remember,Yes,Strongly agree,Strongly agree,Neutral,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,
Engineering/Computer Science,Man,Asian,20,Yes,Absentee / mail ballot,Clinton,Angry,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Woman,Asian,19,,,,"Sad,Scared",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,White,21,Yes,Absentee / mail ballot,3rd party,Other,Community engagement,,,,,I do not remember,No,Somewhat agree,Somewhat disagree,Somewhat disagree,7,Once or twice a month,Every couple of days,Once or twice a year,Important,Important,Important,Important,Moderately important,Important,Important,Moderately important,Important,Moderately important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Mixed Race,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,3,No; I did not check,Only Democrats,Yes,I do not remember,Strongly agree,Strongly agree,Neutral,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,,
Social Sciences,Woman,White,23,Yes,Polling station,3rd party,Sad,Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Sciences/Mathematics,Woman,Mexican American/Chicanx,18,,,,"Sad,Scared,Angry",Voting,,3,No; I do not know how,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Decline to state,21,Yes,Absentee / mail ballot,Clinton,Other,Voting,,,No; I do not know how,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,Asian,19,,,,Other,Volunteering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Mixed Race,22,Yes,Polling station,3rd party,"Sad,Scared,Angry,Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Asian,21,No,,,Scared,Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,White,19,,,,Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Woman,Mixed Race,18,,,,Sad,Community engagement,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Woman,White,19,,,,Angry,Community engagement,,,No; I do not know how,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,4,Once or twice a year,Once a week,Never,Very important,Important,Important,Moderately important,Important,Important,Important,Slightly important,Important,Moderately important,,,,
Life Sciences,Woman,Mexican American/Chicanx,19,,,,Sad,Community engagement,,,,,I do not remember,I do not remember,Strongly agree,Somewhat disagree,Somewhat disagree,3,Never,Never,Never,,,,,,,,,,,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,White,21,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,White,21,Yes,Polling station,Clinton,Angry,Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Gender non-binary,Asian,22,Yes,Absentee / mail ballot,Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,Asian,19,,,,Scared,Volunteering,,3,No; I did not check,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,Asian,21,No,,,Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Man,Asian,18,,,,"Sad,Scared,Angry",Voting,,,Yes; it was counted,,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Computer Science,Man,White,18,,,,"Sad,Scared,Angry",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,White,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Man,White,18,,,,Happy,Voting,,4,Yes; it was counted,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Mexican American/Chicanx,19,,,,Angry,Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,White,22,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Asian,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Woman,Asian,18,,,,"Sad,Scared,Angry",Voting,,1,No; I did not check,,,,,,,,,,,,,,,,,,,,,,,,
Life Sciences,Man,Other,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Man,Asian,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Humanities,Woman,Asian,19,,,,Scared,Voting,,,,,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,3,Once or twice a month,Once or twice a month,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Moderately important,Moderately important,Moderately important,,,Not knowledgeable at all,Not knowledgeable at all
Physical Sciences/Mathematics,Man,Asian,20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Woman,Asian,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,Man,Asian,18,,,,"Happy,Proud,Hopeful",Volunteering,,,,,I do not remember,No,Strongly agree,Somewhat disagree,Strongly agree,8,Every couple of days,Once a week,Once or twice a month,Very important,Very important,Very important,Important,Important,Slightly important,Important,Moderately important,Moderately important,Moderately important,,,,
Life Sciences,Woman,Mexican American/Chicanx,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,Other Hispanic/Latinx,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Other",Community engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Community engagement,,1,No; I do not know how,Mostly Democrats,Yes,,,,,,,,,,,,,,,,,,,,,,
